% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.729437218e+03 +2.729437218e+03 +2.822377218e+03 +2.822377218e+03 +5.5998e-01 +3.1653e+00 +2.2481e+00 +4.7517e+00 -2.0914e+00 -3.8404e+00 +1.0469e+00 -2.6207e+00 +2.8172e+00 -2.7942e+00 +5.1983e-01 -2.9705e+00 -1.9454e+00 +4.6149e+00 -2.2452e+00 -1.2187e+00 +4.4490e+00 +1.9450e+00 +2.7022e+00 -3.5368e+00
6 +8.993597268e+02 +8.993597268e+02 +9.922997268e+02 +9.922997268e+02 +4.1773e+00 -3.0009e+00 +2.0680e-01 +2.0707e+00 +4.9172e+00 +4.9287e+00 +8.6644e-01 -3.8272e+00 -2.5097e+00 +3.9868e+00 +2.9581e+00 -4.7087e+00 -3.2593e-01 +7.2785e-01 +3.8733e+00 -3.5182e+00 +4.1294e+00 -3.3827e+00 +3.8378e+00 +4.4171e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.294330461e+03 +5.294330461e+03 +5.329680461e+03 +5.329680461e+03 +1.2132e+00 +1.8014e+00 -9.7150e-01 -4.9404e+00 -1.5643e+00 -2.8976e+00 -2.4887e+00 +2.9077e+00 +1.5735e+00 +2.2349e+00 -3.7776e+00 +1.0138e+00 +3.3467e+00 -2.9806e+00 +3.9974e+00 +1.8981e+00 -1.0984e-01 -2.8839e+00 +1.2611e-01 +4.1456e+00
2 +3.948289907e+03 +3.948289907e+03 +3.983639907e+03 +3.983639907e+03 +2.3492e+00 -4.4487e+00 +9.0149e-01 +4.2558e-01 -2.4024e+00 -3.9921e-01 +8.5508e-01 -1.5124e+00 +1.4926e+00 +2.2310e+00 -3.4910e+00 +2.9577e-01 -3.8467e-01 +3.5951e+00 -2.1679e+00 +1.9282e+00 +2.5522e+00 -2.6614e+00 -4.6785e+00 +1.2508e+00
3 +2.401444404e+03 +2.401444404e+03 +2.436794404e+03 +2.436794404e+03 +3.3357e+00 +2.3806e+00 +3.8839e+00 +5.3993e-01 +2.2419e-01 +4.8748e+00 -4.7153e-01 +1.4382e+00 +4.9666e+00 -1.9573e+00 +4.7396e-01 -3.4377e+00 +6.7964e-02 -4.3681e+00 +1.2730e+00 -1.6273e+00 +2.6299e+00 +3.7651e+00 +4.1227e+00 -3.9656e+00
51 +1.436183303e+03 +1.436183303e+03 +1.471533303e+03 +1.471533303e+03 -4.9430e+00 +3.8807e+00 +4.6099e+00 -6.5972e-01 +3.9885e-01 -3.3597e+00 +3.3540e+00 +4.4993e-01 +3.8739e+00 -3.4539e+00 +6.2751e-01 -3.3433e+00 -1.1126e+00 +4.9298e+00 +1.7729e+00 +4.2819e+00 -2.2305e+00 +1.9431e-01 +2.8051e+00 +2.3407e+00
72 +9.117908211e+02 +9.117908211e+02 +9.471408211e+02 +9.471408211e+02 -6.4905e-01 +1.6101e+00 +2.7853e+00 -1.9074e+00 -3.4295e+00 +1.2891e+00 +2.0757e+00 +8.5581e-03 +3.8981e+00 -4.8126e+00 +2.1309e+00 -2.9106e+00 -3.3975e+00 +1.5544e+00 -8.4087e-01 -2.3804e+00 +3.7372e+00 +1.3169e+00 +4.3094e+00 -1.2547e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.000021915e+03 +5.000021915e+03 +5.003841915e+03 +5.003841915e+03 -3.9660e+00 -1.5492e+00 +1.9807e+00 +3.9584e+00 +1.5571e+00 -4.9001e+00 +3.2950e-01 +2.9381e+00 -3.1483e-01 -3.0819e+00 -4.6243e+00 -2.0107e+00 +1.8320e+00 +4.1916e+00 +3.4258e-01 +3.4459e+00 +1.4032e+00 -1.1965e+00 -1.0567e+00 -2.1910e+00
2 +1.031948358e+03 +1.031948358e+03 +1.035768358e+03 +1.035768358e+03 +3.5829e+00 +4.7298e+00 +3.8647e+00 +3.3824e+00 -7.0015e-01 -3.8021e+00 +4.4026e+00 +2.0435e+00 +2.7754e+00 +1.2534e+00 +4.9493e+00 -2.2858e+00 +3.3139e+00 -4.5489e+00 +1.0690e+00 +3.0531e-01 +3.7115e+00 +1.5894e+00 -9.9160e-02 -2.0437e+00
5 +9.437612201e+02 +9.437612201e+02 +9.475812201e+02 +9.475812201e+02 +3.4579e+00 +2.9660e+00 +2.4795e+00 +4.0070e-01 -3.3086e+00 +3.5813e+00 +2.6870e+00 +3.4831e+00 +1.9646e+00 -3.0579e+00 -7.4436e-01 -2.8914e+00 +8.9544e-01 -1.2891e+00 +1.7094e+00 +9.6841e-02 -4.7666e+00 +1.6850e+00 +2.2419e+00 +2.1958e+00
29 +5.446007841e+02 +5.446007841e+02 +5.484207841e+02 +5.484207841e+02 -5.2759e-01 +2.5733e+00 -1.1388e+00 +1.0670e+00 -4.4778e-01 +2.6730e+00 +1.8866e+00 -1.6197e+00 +1.4238e-01 -3.2993e+00 -1.6098e+00 -4.5174e+00 -2.8781e+00 -4.4309e+00 +1.1141e-01 -2.5930e+00 -8.2510e-01 +3.3557e+00 +3.1722e+00 +3.9827e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
