% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.563917576e+04 +8.563917576e+04 +8.571544576e+04 +8.571544576e+04 -2.3189e+00 -1.5996e+00 +5.2151e-01 -4.2178e+00 -1.8192e+00 +1.7147e+00 +3.5303e+00 +2.7943e+00 +2.3086e+00 +4.8902e+00 +5.4775e-01 +2.8103e+00 -1.2620e+00 -3.7026e+00 +5.3989e-01 +1.2620e+00 +1.6850e+00 +4.0877e+00 -3.6462e+00 +2.5289e+00
14 +4.507928223e+02 +4.507928223e+02 +5.270628223e+02 +5.270628223e+02 -1.7931e+00 +1.0346e+00 -4.8664e-01 +7.8064e-01 -7.0449e-01 +4.9272e+00 +2.5475e+00 -2.2818e+00 +1.8355e+00 -4.7861e+00 -2.9636e-01 -6.4140e-01 +2.0233e+00 -8.2083e-01 -2.8500e+00 -2.4265e+00 -7.8168e-01 -3.1991e+00 -3.3339e+00 -7.2840e-01
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.901651858e+06 +6.901651858e+06 +6.901629308e+06 +6.901629308e+06 +3.9076e-01 -3.0211e+00 +2.7429e+00 +2.8787e+00 -4.8281e-01 -1.6570e+00 -2.4957e+00 -4.6873e+00 -3.1949e+00 -6.7555e-01 +3.2728e+00 -4.2841e+00 -3.9631e+00 +4.7937e+00 -4.6244e+00 -4.2223e+00 -2.2004e-01 -4.7384e+00 -3.6910e+00 +2.8532e+00
2 +3.241814999e+04 +3.241814999e+04 +3.239559999e+04 +3.239559999e+04 +1.7125e+00 -1.5651e+00 -3.3710e+00 -1.6804e+00 +2.7989e+00 +1.9338e+00 -4.9350e+00 -3.7434e+00 +1.2228e+00 +3.5484e+00 -3.1979e+00 +9.9451e-01 +1.9822e+00 -4.4829e+00 -3.6992e+00 +3.0085e+00 +1.9283e+00 +2.6110e+00 +2.0264e+00 -3.1490e+00
18 +1.148215513e+03 +1.148215513e+03 +1.125665513e+03 +1.125665513e+03 +7.8331e-01 +4.0078e+00 +2.0336e+00 +4.4624e+00 -3.5025e+00 -8.0799e-01 +7.2247e-02 -8.1259e-01 +4.5557e+00 +3.5506e+00 -4.4750e+00 -1.3564e+00 -3.5037e+00 +2.3981e+00 +1.4432e+00 -4.6577e+00 +2.2460e-01 +1.3997e-01 +3.2912e+00 +2.7858e+00
43 +3.739527957e+02 +3.739527957e+02 +3.514027957e+02 +3.514027957e+02 +4.7223e+00 +1.6547e+00 -4.5496e+00 -3.7723e+00 -3.9145e+00 +3.1755e+00 -3.6742e+00 +2.1944e-02 +2.6354e-01 -1.7838e-02 +3.3274e+00 -7.0577e-01 +1.8928e-01 -6.6132e-02 +3.3132e+00 -4.5525e+00 -1.1697e+00 -1.8628e-01 -1.7173e+00 +4.5673e+00
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.483637206e+05 +1.483637206e+05 +1.483773806e+05 +1.483773806e+05 -7.5229e-01 -4.9672e+00 -2.3101e+00 +3.4647e+00 -1.1016e+00 +4.0995e+00 -1.2952e+00 -1.7326e+00 +1.1519e+00 -3.0926e+00 +2.0246e+00 -2.2224e+00 -1.8126e+00 +6.2676e-01 +4.5900e-01 -2.2483e+00 +4.3771e+00 +2.4948e+00 -4.4274e-01 -1.2848e+00
13 +3.480367620e+03 +3.480367620e+03 +3.494027620e+03 +3.494027620e+03 +4.4469e+00 -3.1428e+00 -2.2925e+00 -2.8994e+00 +3.4432e+00 +2.9145e+00 -3.3684e+00 -3.1298e+00 +1.3647e-01 +1.4016e-01 +2.1373e+00 -2.0250e+00 +3.3694e+00 -4.6366e+00 +1.7631e-01 -9.7077e-01 +5.6869e-01 -1.0544e+00 +3.1883e+00 -4.0048e+00
32 +4.710093832e+02 +4.710093832e+02 +4.846693832e+02 +4.846693832e+02 +2.3997e+00 -4.3624e+00 +2.0853e+00 -4.0021e+00 +4.2898e+00 -1.6112e+00 +3.8970e+00 +4.5416e+00 +3.2353e+00 +3.1303e+00 +3.4882e+00 +2.5466e+00 +2.9177e+00 +2.5802e+00 +1.8395e+00 +3.6237e+00 +1.9299e+00 +4.4733e+00 -1.2409e+00 -1.4939e+00
% function evaluation | noise-free fitness - Fopt (9.378400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.294055102e+07 +1.294055102e+07 +1.294148886e+07 +1.294148886e+07 +3.2549e+00 -2.3446e+00 -4.7553e-01 -3.2041e+00 +3.3004e+00 -4.0714e-01 +2.5406e+00 -1.1444e+00 -4.3912e+00 +3.8839e+00 +1.2978e+00 +6.8630e-01 +1.3362e+00 +2.6688e+00 +4.5329e-01 -8.5693e-01 -1.6008e+00 +6.1328e-01 +7.9653e-01 +1.3964e+00
3 +3.678718076e+06 +3.678718076e+06 +3.679655916e+06 +3.679655916e+06 +8.1043e-01 -5.6416e-01 +3.4903e-01 +1.6663e+00 -3.3108e+00 -4.6470e+00 +4.3051e+00 +2.7279e+00 -1.0404e+00 -3.8236e+00 -3.5468e+00 -1.7654e+00 +3.8127e+00 +2.2497e+00 -4.0946e+00 -5.4497e-01 -2.1298e+00 -4.9495e+00 +1.6231e+00 -3.1633e-02
4 +1.296711419e+06 +1.296711419e+06 +1.297649259e+06 +1.297649259e+06 +1.6969e+00 +2.4355e+00 -5.7362e-01 +1.5554e+00 +2.2805e+00 +3.9813e+00 -1.0110e+00 +3.5540e+00 -1.0454e+00 -9.1014e-02 -7.5226e-01 -1.9236e-01 -2.3974e+00 +4.6142e-01 +4.2609e+00 +3.3330e+00 +1.8051e+00 +1.0426e+00 -1.2503e+00 +1.4105e+00
