% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.038706297e+02 +2.038706297e+02 +2.833506297e+02 +2.833506297e+02 -4.5329e+00 +2.5419e+00 +2.8998e+00 +1.8845e+00 -2.5639e+00 +1.7352e+00 +1.9535e+00 -1.4555e+00 -8.5581e-01 -6.9197e-01 -9.8912e-01 +1.8850e+00 -4.7097e+00 +2.3442e+00 -2.7966e+00 +4.4721e+00 +1.3727e+00 +1.5493e+00 -1.4353e+00 +2.4342e+00
5 +1.526845500e+02 +1.526845500e+02 +2.321645500e+02 +2.321645500e+02 +5.2699e-01 -7.1293e-01 +3.7805e+00 +4.6150e+00 +7.3487e-01 +1.2215e+00 +7.2371e-01 +3.9818e+00 -9.9050e-01 -4.9627e+00 -3.6672e+00 +3.5111e+00 -7.1163e-01 -4.8462e+00 +3.4933e-01 +3.9831e+00 +3.1253e+00 -1.2673e+00 +2.2139e+00 -4.5634e+00
161 +9.677279711e+01 +9.677279711e+01 +1.762527971e+02 +1.762527971e+02 +2.9942e+00 -4.7055e-01 -7.7656e-01 +2.0125e+00 -3.9759e-01 +3.7943e-01 +1.5819e-01 -2.0566e+00 -4.7173e+00 -1.6799e+00 -2.3939e+00 -1.7522e+00 +2.1056e+00 +4.3150e+00 +4.3314e+00 +3.2797e+00 -4.9283e+00 -4.5541e+00 -1.8468e-01 +1.0737e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.815314838e+02 +3.815314838e+02 +7.760114838e+02 +7.760114838e+02 +2.8539e+00 +3.9399e+00 +1.9668e+00 -1.0341e+00 +2.3775e+00 -4.8013e+00 -4.3511e-01 +1.9886e+00 +1.0168e+00 -1.7582e+00 +1.2042e-01 -3.1890e+00 -2.3479e+00 -1.4393e+00 +3.7660e+00 -3.8465e+00 -3.6531e+00 +1.6606e+00 -1.2677e-01 -2.8493e+00
3 +2.458139769e+02 +2.458139769e+02 +6.402939769e+02 +6.402939769e+02 -1.8404e+00 -9.4985e-01 +1.7838e-02 +3.4988e+00 +4.9348e+00 +2.3392e+00 +1.5431e+00 +1.4658e+00 -2.1906e+00 -4.2100e+00 +3.9208e+00 -1.6435e+00 -2.3308e+00 -4.2485e+00 -1.3297e+00 -1.2042e+00 +3.4000e+00 +1.5012e+00 -1.5998e+00 +2.8900e+00
6 +1.228379111e+02 +1.228379111e+02 +5.173179111e+02 +5.173179111e+02 -4.7662e+00 +3.9007e-01 -1.2355e+00 -1.3422e+00 -1.3304e+00 +2.2875e+00 +2.6238e+00 -2.6486e+00 -2.5952e-01 -4.1627e+00 +4.5983e+00 -1.2692e+00 +1.6075e+00 +4.3293e+00 -4.8094e+00 +3.4296e-01 -4.0929e+00 +2.3805e+00 +1.6366e+00 +1.6772e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.657028595e+02 +3.657028595e+02 +1.185928595e+02 +1.185928595e+02 +2.3661e+00 +4.0925e+00 -2.5634e+00 -3.2381e+00 +4.4633e+00 -1.7999e-01 -4.4467e+00 +2.4026e+00 +4.7629e+00 -3.6816e+00 +2.3864e+00 +1.6977e+00 +2.2866e+00 +2.8962e+00 -4.8902e-01 +2.1681e+00 -3.0122e+00 -3.9631e+00 +2.1002e+00 -1.7579e+00
2 +2.081052564e+02 +2.081052564e+02 -3.900474362e+01 -3.900474362e+01 -3.4117e+00 +1.0303e+00 +1.2062e+00 -5.7173e-01 +3.2017e+00 -4.5108e+00 -7.9054e-01 -8.1496e-01 +1.9586e+00 +3.0411e+00 -1.4286e+00 -1.8049e+00 +1.5609e+00 -9.4103e-01 -2.3919e+00 +4.8696e-01 +3.9023e+00 -6.2351e-01 +4.7328e+00 +1.0666e+00
