% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.713493557e+06 +1.713493557e+06 +1.713529457e+06 +1.713529457e+06 +3.3480e+00 +2.0761e+00 -1.0186e+00 +2.1229e+00 -4.6222e+00 -2.6582e+00 -3.8844e+00 -2.9126e+00 +9.9140e-01 +1.9517e+00 +4.5101e-01 +1.1248e-01 -6.3010e-01 -3.8932e+00 -1.4595e+00 +2.8761e+00 +6.0446e-01 -4.8165e+00 +1.6822e+00 +1.8149e+00
2 +6.271252105e+05 +6.271252105e+05 +6.271611105e+05 +6.271611105e+05 -1.1588e+00 +4.7230e+00 +3.5228e+00 +2.0712e+00 -1.5892e+00 -1.9998e+00 -3.4100e+00 -3.1897e+00 -4.2828e+00 +2.6111e-01 +3.0233e-01 +3.4190e+00 -2.7825e+00 -2.5500e+00 +9.5309e-01 -4.8934e+00 +3.8597e+00 -3.8183e+00 -6.2039e-02 -1.9510e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.368191191e+06 +1.368191191e+06 +1.368222561e+06 +1.368222561e+06 -4.2249e+00 -4.3331e+00 +1.8596e+00 +4.3396e-01 +4.6572e+00 -9.9330e-01 -3.4208e+00 -4.6755e+00 +3.6828e+00 +4.4547e+00 -1.5511e-01 +1.3609e+00 -1.4532e+00 -1.3282e+00 -1.5099e+00 -2.9201e+00 +1.4268e+00 -4.2101e+00 +3.5959e+00 +2.9468e+00
9 +6.025631971e+05 +6.025631971e+05 +6.025945671e+05 +6.025945671e+05 +2.0107e+00 -1.2135e+00 -8.0382e-01 -1.2614e+00 -4.6993e+00 +5.0895e-01 -2.9720e+00 +1.9351e-01 +3.9913e+00 -2.1042e+00 -2.3682e+00 +3.5221e+00 -4.0160e+00 +2.2280e+00 -3.6531e+00 +8.9618e-01 +1.3507e-02 -4.6737e+00 +3.7911e+00 +3.1508e+00
13 +3.809061651e+05 +3.809061651e+05 +3.809375351e+05 +3.809375351e+05 +1.9727e-01 -9.3994e-01 -3.1786e-01 +1.2060e+00 -2.6180e+00 -2.7821e+00 -3.4744e+00 +3.5171e+00 +2.4852e+00 +1.3962e+00 -4.4060e+00 -3.8007e+00 +3.3832e+00 +2.4930e+00 -1.2343e+00 +1.5382e+00 -2.9427e+00 -4.1133e+00 -4.8195e+00 -4.8615e+00
158 +1.865458988e+05 +1.865458988e+05 +1.865772688e+05 +1.865772688e+05 -1.8634e-01 +2.5644e+00 -4.7592e+00 +4.4892e+00 -7.6166e-01 -3.9545e+00 -4.0808e+00 -6.9552e-01 -1.6319e+00 +4.4941e+00 -4.2791e+00 +3.7781e+00 -4.8420e+00 +2.0296e+00 +4.2982e+00 +3.2704e+00 -3.0367e+00 -2.1788e+00 +1.4739e+00 -2.1628e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.695095918e+05 +8.695095918e+05 +8.685095918e+05 +8.685095918e+05 +9.5947e-02 -1.7066e+00 -1.5755e+00 +1.8457e+00 +2.1082e+00 +1.4204e-01 +1.2860e+00 -1.7692e+00 -2.2025e+00 +4.8257e+00 -4.7106e+00 -1.4026e+00 +3.8554e+00 -2.7275e+00 +9.8594e-01 +4.8769e-01 +3.3031e+00 +4.9412e+00 -4.5682e+00 -3.4515e+00
9 +5.921394276e+05 +5.921394276e+05 +5.911394276e+05 +5.911394276e+05 +1.4359e+00 +8.9392e-01 -4.1521e+00 +4.0168e-01 +3.7701e+00 +1.1793e+00 -4.0263e+00 -4.1685e+00 +4.2106e+00 -3.0262e+00 +9.2237e-01 -3.0006e+00 -3.0069e+00 -7.0642e-01 +3.4992e+00 -1.3929e+00 -9.0955e-01 -2.9323e-01 -4.6208e+00 +3.1955e+00
