% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.546493152e+05 +2.546493152e+05 +2.547731452e+05 +2.547731452e+05 -1.0620e-01 +8.5456e-01 +2.7383e+00 -7.0721e-01 -4.5202e+00 +3.8706e+00 +2.9889e+00 -3.8975e+00 -3.3438e+00 +3.3326e+00 -2.6545e+00 -4.0861e+00 +3.3028e+00 -4.8595e+00 +1.4536e+00 +4.6038e-01 -2.6691e+00 +2.6710e+00 -3.1292e+00 +1.7962e+00
9 +2.496710997e+05 +2.496710997e+05 +2.497949297e+05 +2.497949297e+05 -1.1498e+00 +2.2163e+00 +1.5695e+00 -8.2988e-01 +4.5390e+00 -3.5631e-01 -4.5786e-01 -2.5332e+00 -4.2292e+00 -1.7465e+00 -1.8227e+00 -3.5939e+00 +4.4075e+00 -4.4973e+00 -3.8931e+00 -4.6150e-01 +3.4839e-01 -3.6377e+00 +3.0162e+00 -2.0738e+00
14 +1.515670191e+05 +1.515670191e+05 +1.516908491e+05 +1.516908491e+05 +2.4803e+00 +1.5929e+00 +3.2473e-01 -8.8431e-02 -1.3041e+00 -4.3752e+00 +4.2785e-01 +1.1101e+00 +9.9883e-01 +1.9340e-01 +2.4137e+00 -4.0747e+00 +2.5074e+00 -3.6863e+00 -1.4710e+00 -8.8755e-02 -9.0685e-01 +2.1699e+00 +3.1643e+00 +2.1291e+00
19 +8.278769018e+04 +8.278769018e+04 +8.291152018e+04 +8.291152018e+04 -3.2457e-01 -2.2278e+00 +1.9125e-01 +2.1885e+00 +3.6706e+00 -6.6942e-01 -2.0871e+00 -3.7399e+00 -7.8780e-01 -1.6078e+00 +3.1688e+00 +1.8010e-01 +1.5178e+00 +1.3227e+00 +2.1243e+00 -3.1899e+00 +2.5293e+00 -7.6670e-02 -1.6128e+00 +8.2442e-01
93 +4.804529213e+04 +4.804529213e+04 +4.816912213e+04 +4.816912213e+04 -2.0089e-01 +1.2106e+00 +3.0689e+00 +4.2335e-01 -6.3523e-01 -3.9948e+00 -3.1218e+00 +9.4708e-01 -8.8478e-01 -2.6101e-01 -9.0809e-01 +3.1107e+00 +1.0530e+00 -6.3768e-01 +2.3741e+00 +1.2539e+00 -3.1442e+00 -1.8667e+00 -3.0167e-01 +1.9063e+00
114 +3.084433474e+04 +3.084433474e+04 +3.096816474e+04 +3.096816474e+04 +1.3675e+00 -5.3083e-01 +4.8794e-01 -3.9048e-02 -3.2721e-01 +6.6948e-03 +3.6464e+00 +3.4216e-02 -3.4265e-01 +2.9124e+00 -2.6538e+00 -2.6441e+00 +3.4894e+00 -2.7485e+00 -1.0582e+00 -1.4411e+00 -1.9010e+00 +3.1568e+00 -6.9386e-01 -6.8790e-02
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.754393535e+05 +3.754393535e+05 +3.754868635e+05 +3.754868635e+05 +2.2781e+00 +2.2782e+00 -1.7758e+00 -4.4825e+00 -2.2608e+00 +2.2116e+00 +4.9653e+00 +1.3185e-01 -7.0936e-02 +3.8276e+00 +6.2145e-01 +3.4604e+00 -2.4969e+00 +3.3227e-01 +4.7238e+00 -3.2360e+00 -1.8151e-01 -3.5036e+00 -3.2095e+00 -4.3403e+00
2 +1.933882532e+05 +1.933882532e+05 +1.934357632e+05 +1.934357632e+05 +1.8702e+00 +4.2741e+00 +3.6662e+00 +2.0042e+00 -3.6517e+00 -3.0148e+00 -7.4412e-01 -1.9822e+00 +7.3895e-01 -3.7791e+00 +1.9125e+00 -3.4945e+00 -1.4697e+00 -3.7276e+00 +2.5867e+00 +2.6654e+00 -3.0837e+00 -1.8118e+00 +4.8372e-01 +1.3343e+00
29 +1.158374185e+05 +1.158374185e+05 +1.158849285e+05 +1.158849285e+05 -2.1782e+00 +1.7747e+00 -2.6158e+00 +2.1422e+00 -1.7411e-01 +4.7269e+00 +1.8394e+00 +1.6490e+00 +1.6059e+00 -1.3885e+00 +4.0678e+00 -1.3944e+00 -5.2650e-01 -4.1955e-01 +6.8708e-01 +2.0835e-01 +3.5017e+00 -4.0242e+00 +3.4654e-01 +3.6104e+00
