% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.155603800e+05 +9.155603800e+05 +9.157095300e+05 +9.157095300e+05 +4.0634e-01 -4.2233e+00 -3.2378e+00 -1.2968e+00 -3.9447e+00 +4.6567e+00 -1.2809e+00 +4.0656e+00 -1.7964e+00 +4.2132e+00 +4.8146e+00 +1.9660e+00 +4.8435e+00 +9.0333e-01 +2.3139e+00 +2.4065e+00 +4.9617e+00 -4.7780e+00 -1.9805e+00 -3.3841e+00
2 +1.444144834e+05 +1.444144834e+05 +1.445636334e+05 +1.445636334e+05 -3.3503e+00 +1.0287e+00 +2.8594e+00 -1.6931e+00 -1.4829e+00 +1.1619e-01 +2.4760e+00 -1.5452e+00 +3.4494e+00 +6.4684e-01 +3.1022e-01 -3.2488e+00 +1.8697e+00 -3.9110e+00 -3.6730e+00 +5.9603e-01 -2.0048e+00 +3.0291e+00 -1.9060e+00 +5.9469e-01
23 +8.813605191e+04 +8.813605191e+04 +8.828520191e+04 +8.828520191e+04 -1.3041e+00 +1.2415e+00 -1.0362e+00 +1.3260e+00 -1.8340e+00 +1.3944e+00 -1.7590e+00 +6.6886e-01 -5.1697e-01 -2.4135e+00 -9.0792e-01 -8.1117e-01 -1.9199e+00 -2.3548e+00 -4.1073e+00 +1.6440e+00 -3.2376e-01 -3.6300e+00 +1.2235e+00 -1.9604e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.120004325e+06 +1.120004325e+06 +1.119004325e+06 +1.119004325e+06 -3.1477e+00 +1.9309e+00 +1.7531e+00 +4.9690e+00 +2.3181e+00 +1.7445e+00 -2.1440e+00 +3.4869e+00 -3.6388e+00 +3.4741e+00 -2.9939e+00 +9.8586e-01 -2.0978e+00 +8.7393e-01 -4.2771e+00 +3.2455e+00 +3.8199e+00 +3.6553e+00 +4.1911e+00 -2.9906e+00
3 +9.492560077e+05 +9.492560077e+05 +9.482560077e+05 +9.482560077e+05 -2.4690e+00 -2.6959e+00 +2.1320e+00 +8.7496e-01 -3.7985e+00 +3.0306e+00 -1.6980e+00 -4.3317e+00 +1.1376e+00 -4.6217e+00 +1.9945e+00 -4.5488e+00 +3.1241e+00 +3.7085e+00 +2.3580e+00 -8.9994e-01 -1.2282e+00 +3.3789e+00 +4.2825e+00 +2.6498e+00
5 +5.434791701e+05 +5.434791701e+05 +5.424791701e+05 +5.424791701e+05 -1.2603e+00 -3.6783e+00 -4.0169e+00 -2.5840e+00 +3.9096e-01 -4.0288e+00 -2.0504e+00 -1.7284e+00 +2.6176e+00 +3.2361e+00 +1.0560e+00 -2.2761e-01 +4.9783e+00 -7.3680e-01 +5.1364e-01 +1.3277e+00 +3.3458e+00 +1.0025e+00 +4.3685e+00 +3.7425e+00
8 +3.106365083e+05 +3.106365083e+05 +3.096365083e+05 +3.096365083e+05 +1.1130e-01 +2.3846e+00 -2.7088e+00 +3.5379e+00 +8.7781e-01 +1.1181e+00 -1.5279e+00 -1.3089e-01 +5.7450e-01 +2.8951e-01 -3.7630e+00 +1.3058e-01 +4.3819e+00 -2.8274e+00 +1.8710e-01 +1.2930e+00 +7.5646e-01 +7.0332e-01 -1.5762e+00 -4.2246e+00
30 +2.008539530e+05 +2.008539530e+05 +1.998539530e+05 +1.998539530e+05 -3.5638e+00 +6.6649e-01 -2.1909e+00 -3.6025e+00 -2.7120e+00 +1.5751e+00 -2.9858e+00 -1.8104e+00 +2.5081e+00 +4.9147e+00 +1.4801e+00 +1.8316e+00 +1.9676e+00 +1.5618e+00 -1.9164e+00 -3.2704e+00 -3.6213e-01 +1.2248e+00 -2.8849e+00 +4.2601e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.970178760e+05 +5.970178760e+05 +5.971164960e+05 +5.971164960e+05 -2.7298e+00 -3.9676e+00 +2.6539e+00 -8.4890e-01 +2.1159e+00 +4.7771e-01 -5.2323e-01 -1.1215e-01 -1.7316e+00 -2.9042e+00 -3.7297e+00 -1.7064e+00 +4.6008e+00 +2.2512e+00 +4.0635e+00 +2.9655e+00 -4.9740e-01 -2.5400e+00 +3.0867e+00 -4.3289e-01
4 +2.266830112e+05 +2.266830112e+05 +2.267816312e+05 +2.267816312e+05 +3.7632e+00 +5.6839e-02 +5.0249e-01 -3.2273e+00 -1.9057e-01 +2.1855e+00 -4.9120e+00 -3.8514e+00 -2.1033e+00 -1.0235e-01 -2.2104e+00 -3.7603e+00 -1.1649e+00 -2.5954e+00 +2.2588e+00 -2.9558e+00 +7.6612e-01 -2.6960e+00 +2.3754e+00 +1.9187e+00
19 +1.471463465e+05 +1.471463465e+05 +1.472449665e+05 +1.472449665e+05 -1.3503e+00 -1.0687e-01 +1.9635e+00 -7.2950e-01 +3.2745e+00 +2.0438e+00 -1.1906e+00 +1.3113e+00 +6.8136e-01 +2.4107e-01 -2.8499e+00 -4.9451e+00 +2.3012e+00 -2.0141e+00 -3.9819e+00 -4.4965e+00 -2.9764e+00 +4.0076e+00 +1.5196e+00 -4.8838e+00
187 +4.010532086e+04 +4.010532086e+04 +4.020394086e+04 +4.020394086e+04 -4.5718e+00 -9.5682e-01 +1.0821e+00 -1.0698e+00 +5.2732e-02 +2.5004e+00 -2.6772e+00 -2.5406e+00 -8.2103e-01 -3.9880e+00 -1.0123e+00 -4.4878e+00 +5.2844e-01 -1.9258e+00 -4.0946e+00 -1.4743e+00 +2.3372e+00 +1.1229e+00 +2.8252e+00 -2.4109e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.077668590e+06 +1.077668590e+06 +1.077621440e+06 +1.077621440e+06 -4.8110e+00 -4.8286e+00 +3.8166e+00 -1.6338e+00 -4.4491e+00 +1.4854e+00 -9.6404e-01 +3.4355e+00 +4.6405e+00 +4.5570e-01 -2.2686e+00 -3.2061e+00 +2.3672e+00 +4.0225e+00 +7.3123e-01 +1.6389e+00 -7.0908e-01 +3.5301e+00 -2.3405e+00 +4.5702e+00
2 +4.046959257e+05 +4.046959257e+05 +4.046487757e+05 +4.046487757e+05 -2.6338e+00 -2.8739e+00 +1.3511e+00 -8.6555e-01 -1.3474e+00 -3.5652e+00 +2.6411e+00 +2.9230e+00 -6.3021e-01 +3.2222e+00 +4.9766e+00 -4.1386e+00 +3.8035e+00 -7.7750e-01 +4.3889e+00 -2.6575e+00 -4.8128e+00 -2.2170e+00 +4.6751e+00 +2.1792e+00
