% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.494950171e+02 +8.494950171e+02 +9.521050171e+02 +9.521050171e+02 -2.6532e+00 +1.4205e+00 -1.3456e+00 +3.4721e+00 +1.6504e+00 -2.2975e+00 -1.6057e+00 -9.8944e-01 +3.6418e+00 -8.1904e-01 +3.8166e+00 -2.6572e+00 -1.2420e+00 +2.9405e+00 +4.0645e+00 +3.7962e+00 +4.9258e+00 +3.4049e+00 +2.2358e+00 +2.5389e-01
6 +5.562621425e+02 +5.562621425e+02 +6.588721425e+02 +6.588721425e+02 -5.0824e-02 +3.4950e+00 -5.9123e-01 -1.7781e+00 -1.8784e+00 +1.2360e+00 -4.4541e+00 -1.7355e+00 -3.6196e+00 -1.0411e+00 +8.3173e-01 +4.6946e-01 -3.1659e+00 +4.6867e+00 -2.7363e+00 -1.7862e+00 +1.1896e+00 -3.3211e+00 -1.8641e-02 -3.8227e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.027480259e+03 +1.027480259e+03 +1.120780259e+03 +1.120780259e+03 -9.9396e-02 +3.2819e+00 -4.1165e+00 -3.1479e+00 -9.6776e-01 -7.3556e-01 -1.5751e+00 +4.5365e+00 +2.7995e+00 +1.2492e+00 -2.0916e+00 -2.4370e+00 -2.8572e+00 -2.8386e+00 +4.7326e+00 -4.6363e+00 +4.7395e+00 +4.1884e+00 +2.8811e+00 -2.9943e+00
2 +8.735077590e+02 +8.735077590e+02 +9.668077590e+02 +9.668077590e+02 +4.4648e-01 +4.8953e+00 +3.0852e+00 -2.1748e+00 +4.2409e+00 -2.4403e+00 +4.6516e-01 -3.2121e+00 +3.9041e+00 +1.9284e+00 +3.3139e+00 +4.6180e+00 +2.0061e+00 +3.3367e+00 -2.4995e+00 -1.1065e+00 -3.7330e+00 -3.2320e+00 +1.5028e+00 -3.0164e-01
3 +5.648212854e+02 +5.648212854e+02 +6.581212854e+02 +6.581212854e+02 -1.3104e+00 -3.4922e+00 -3.8586e-01 -6.5327e-01 -2.0675e+00 -3.7808e+00 +3.5550e-02 -3.0252e+00 +1.8038e+00 -2.9247e-01 -1.7210e+00 -2.2005e+00 -2.1812e-01 -2.6814e+00 +2.2584e+00 +2.9517e+00 +5.9694e-01 -1.6177e+00 -1.8327e+00 +2.6667e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.923462782e+02 +9.923462782e+02 +1.005986278e+03 +1.005986278e+03 +4.8347e+00 +4.8231e+00 +1.7613e+00 -1.7579e+00 -9.6494e-01 +2.9608e+00 -4.8275e+00 +3.7847e+00 -3.1778e+00 -4.8846e+00 +3.2304e+00 -2.2235e+00 -3.4210e+00 -9.4574e-01 +6.7535e-01 +1.8815e+00 +3.4952e+00 +1.5466e+00 -2.0573e+00 -4.8514e+00
4 +6.130713717e+02 +6.130713717e+02 +6.267113717e+02 +6.267113717e+02 -7.3129e-02 +1.9114e+00 +3.7926e+00 +1.0380e+00 +3.0206e+00 +1.7988e-01 -4.4093e+00 -1.1355e+00 -2.8106e+00 -4.7481e+00 -1.5016e+00 -4.2143e+00 +2.7827e+00 +3.0261e+00 -2.2668e-01 +2.4519e+00 -1.0013e+00 +1.4863e+00 -4.1436e-01 +4.9975e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
