% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.158049657e+03 +1.158049657e+03 +2.158049657e+03 +2.158049657e+03 -2.8129e-01 -2.7797e+00 +2.8626e+00 -1.6777e+00 +4.5467e-01 +3.0754e+00 -2.1051e-01 -2.7143e+00 -7.1372e-01 +5.5303e-01 -2.4417e-01 +6.5568e-02 +4.1168e+00 -2.1774e+00 +3.8561e+00 +2.5175e+00 +6.8036e-01 +2.6208e+00 -9.4044e-01 -3.2508e+00
7 +5.809344711e+02 +5.809344711e+02 +1.580934471e+03 +1.580934471e+03 -4.7930e+00 -5.5383e-01 +3.6264e+00 +6.9413e-01 +1.7156e+00 -4.5259e+00 -9.7032e-01 -2.1460e+00 -3.4968e+00 -4.2451e+00 +5.1513e-01 -2.7164e+00 +3.4653e+00 -4.4474e+00 +1.9470e+00 +4.7408e+00 +4.1049e+00 +3.8020e+00 +1.2425e+00 +2.1350e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.847560891e+03 +1.847560891e+03 +1.917590891e+03 +1.917590891e+03 +1.8840e-01 -3.7049e+00 +2.4314e+00 +3.1827e+00 -1.6880e+00 -3.8575e+00 +5.1931e-01 -4.4776e+00 -1.3999e+00 +4.7350e+00 +4.3720e+00 +3.2925e+00 +2.1273e+00 -3.8495e+00 -1.5975e+00 +5.6974e-01 +3.6698e+00 -1.2995e+00 -3.1554e+00 +1.7019e+00
5 +9.193998927e+02 +9.193998927e+02 +9.894298927e+02 +9.894298927e+02 -3.5053e+00 -1.4686e+00 -3.2747e+00 +1.6015e+00 +8.0163e-01 +1.1023e+00 -4.1961e+00 -1.6066e+00 +1.1930e+00 +1.1296e+00 +3.3043e-01 +2.5820e-01 +3.8482e+00 -4.9645e+00 -1.1356e+00 +2.6857e+00 +2.3934e+00 -1.1536e+00 -3.2635e-01 -1.1863e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.370896946e+03 +3.370896946e+03 +3.322676946e+03 +3.322676946e+03 -1.8644e+00 +1.0208e+00 -3.4546e+00 -3.0018e+00 +3.4727e+00 -2.4903e+00 +4.1935e+00 -2.8808e+00 -4.4573e+00 -1.4282e+00 +3.0203e+00 +3.0968e+00 -1.2411e+00 -3.0983e+00 -4.0700e+00 +4.7114e+00 +2.0788e+00 -4.5481e+00 +2.3609e+00 -3.7649e+00
2 +7.965169241e+02 +7.965169241e+02 +7.482969241e+02 +7.482969241e+02 -3.4938e+00 -4.1310e+00 -2.9296e+00 +2.3504e+00 -4.8014e+00 +3.8269e+00 +1.8027e-01 +2.0922e+00 -3.2453e+00 +1.1256e+00 -3.4474e+00 +2.0149e+00 -2.2082e+00 +1.8325e+00 -3.1320e+00 +3.0047e+00 -1.8230e+00 +3.1206e+00 +8.2552e-01 +1.7419e+00
19 +6.183005773e+02 +6.183005773e+02 +5.700805773e+02 +5.700805773e+02 -4.5440e+00 -1.7191e+00 -4.7592e-01 +1.4527e+00 -4.8881e+00 +3.1316e+00 -4.2789e+00 +4.2168e+00 -2.4208e+00 +3.9350e+00 +3.5870e+00 -2.4495e+00 +4.1838e+00 -1.4850e-01 +4.8187e-01 -1.2119e+00 -4.8479e+00 -9.3582e-01 +3.8651e+00 -2.2273e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.308632584e+03 +5.308632584e+03 +5.334102584e+03 +5.334102584e+03 +4.1796e+00 +7.0258e-01 +5.3797e-01 +4.3548e+00 -3.1136e+00 -4.0039e+00 -1.1529e+00 +1.7653e+00 -2.2653e-02 -2.3685e+00 +1.6911e+00 +3.8627e+00 +1.9812e+00 +1.7296e-01 -1.6807e-01 +1.7989e-01 -4.0602e+00 +9.4248e-01 +3.5471e+00 -1.0385e-01
2 +1.719243657e+03 +1.719243657e+03 +1.744713657e+03 +1.744713657e+03 +1.1545e+00 -2.3560e+00 +2.6860e+00 -4.2945e+00 +7.7603e-01 -5.2633e-01 -2.2133e+00 -3.3690e+00 +4.6792e-01 -3.1045e+00 -5.3189e-01 +4.0949e+00 -1.2954e-01 -2.7024e+00 +4.6716e+00 -3.4956e+00 -1.5769e+00 +3.8454e+00 +2.1275e+00 +3.6931e+00
4 +7.268824141e+02 +7.268824141e+02 +7.523524141e+02 +7.523524141e+02 -4.0512e+00 +4.0160e+00 -1.3229e+00 -3.9437e+00 -4.4689e+00 +3.1717e+00 -1.5555e+00 -1.4882e+00 +1.3840e+00 -6.9575e-01 -4.4670e+00 -4.6763e+00 +3.3637e+00 -1.5979e+00 +1.9595e+00 +1.8249e-01 +2.7205e-01 +3.1475e+00 +2.3990e+00 -4.2862e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.414047741e+03 +3.414047741e+03 +3.313237741e+03 +3.313237741e+03 +3.9544e+00 +4.7226e+00 +4.3190e+00 -4.0153e+00 +1.1761e+00 -4.9625e+00 -3.8728e+00 +2.1208e+00 -3.6234e+00 +3.3495e+00 +4.1787e+00 +2.4947e+00 -3.0124e+00 -4.1873e-01 -1.9477e+00 -4.1485e+00 +4.1105e-01 -4.0458e+00 -1.5610e+00 +4.1037e+00
3 +2.242556106e+03 +2.242556106e+03 +2.141746106e+03 +2.141746106e+03 +3.7199e-01 +4.8057e+00 -7.8882e-01 -4.5900e+00 -3.5209e+00 -3.8488e-01 +3.8071e+00 -3.2745e+00 +3.7226e+00 -3.8646e-01 +3.1808e+00 +3.0686e+00 +2.5798e+00 +1.4303e+00 +1.0520e+00 +4.5780e+00 +4.5256e+00 -4.4376e+00 -4.6015e+00 +4.4309e+00
5 +1.216509861e+03 +1.216509861e+03 +1.115699861e+03 +1.115699861e+03 +1.7412e+00 +2.6727e+00 +4.4429e+00 +1.8591e+00 -2.8344e+00 -1.4237e+00 -2.1881e+00 +1.2154e+00 -1.7844e+00 +4.7023e+00 +2.2020e+00 -3.0875e+00 -4.7427e+00 -3.4397e+00 +3.8171e+00 -9.7247e-01 +1.3237e+00 -4.8621e+00 -6.4277e-01 +2.1422e+00
9 +8.231557757e+02 +8.231557757e+02 +7.223457757e+02 +7.223457757e+02 +1.4216e+00 +4.1060e+00 +2.0230e+00 -2.1732e+00 +1.7041e+00 +1.3568e-01 +2.5744e+00 +1.7711e+00 +6.6739e-01 +7.3148e-01 +1.1134e+00 -4.7933e+00 -1.0111e+00 +4.4072e+00 -2.5282e+00 +4.4345e-01 +3.5102e+00 +3.4670e+00 +1.7011e+00 +4.2294e+00
46 +5.585680580e+02 +5.585680580e+02 +4.577580580e+02 +4.577580580e+02 -1.0432e-01 +2.5019e+00 -4.0607e+00 -1.5414e+00 +2.3262e+00 -1.7983e+00 +3.5098e+00 -2.5617e+00 -3.8856e+00 -1.9982e+00 +1.5008e-01 -4.0391e-01 +1.0748e+00 -1.6314e+00 -5.3623e-01 +3.1660e+00 +3.9067e+00 -4.2064e+00 +4.3717e+00 +1.4828e+00
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.694338524e+03 +3.694338524e+03 +4.096068524e+03 +4.096068524e+03 -2.0177e+00 -3.1081e+00 +4.8411e+00 +4.0389e+00 +4.7126e+00 -2.8489e+00 +3.9896e+00 -2.5324e+00 -3.7105e+00 +4.0720e+00 +2.8173e+00 -1.4921e+00 +1.6508e+00 +2.7321e-01 +3.3823e+00 -9.6310e-01 -1.6881e+00 +7.5421e-01 -1.9525e+00 +2.2592e+00
2 +1.436136919e+03 +1.436136919e+03 +1.837866919e+03 +1.837866919e+03 +9.2557e-01 -3.3030e+00 +1.3071e+00 +1.6945e+00 +4.4187e+00 +6.3244e-01 -2.5549e+00 +4.3077e+00 +4.7349e+00 +2.6272e+00 +2.4925e+00 -4.5537e-01 +1.9252e+00 +4.5353e+00 -1.9863e+00 +1.2487e+00 -4.7511e+00 +7.8112e-01 -2.0845e+00 -2.3396e+00
9 +9.872835092e+02 +9.872835092e+02 +1.389013509e+03 +1.389013509e+03 -2.3731e-03 +1.2131e+00 +1.3072e+00 -3.4005e+00 +3.9342e+00 -4.9036e+00 -2.1424e+00 -2.1958e+00 +1.9666e+00 -1.4225e+00 +4.2141e+00 +3.3439e+00 +1.6984e+00 +1.4519e+00 -4.9181e+00 +4.4682e+00 +1.3634e+00 +3.4967e+00 -4.8389e+00 -4.2936e+00
58 +6.089134362e+02 +6.089134362e+02 +1.010643436e+03 +1.010643436e+03 +1.2822e+00 -2.9473e+00 +2.9275e-01 +2.9522e+00 +2.9312e+00 +2.9312e+00 -1.9659e+00 -2.9233e+00 +1.4488e+00 +4.1487e+00 -4.0310e+00 +4.4692e+00 -6.8974e-01 -1.9185e+00 +5.4006e-02 +3.3149e+00 -4.6698e+00 +1.7940e+00 +1.5138e+00 -2.7223e+00
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.542564270e+03 +2.542564270e+03 +2.446814270e+03 +2.446814270e+03 -7.5154e-01 +3.7271e+00 -1.4303e+00 -4.8604e+00 +8.3937e-01 -3.9928e+00 -2.9526e+00 -3.1480e+00 +4.0589e+00 -3.9291e+00 -4.5580e+00 +2.6624e+00 -4.3621e+00 -3.3387e+00 +3.4088e+00 +2.4914e+00 -4.9882e+00 +4.7410e+00 -9.9553e-01 -4.9286e+00
2 +2.142997101e+03 +2.142997101e+03 +2.047247101e+03 +2.047247101e+03 -1.2204e+00 +6.4459e-01 -9.7547e-01 +4.4330e+00 -8.6613e-01 -2.9008e+00 +1.3216e-01 +8.7637e-01 -4.5454e+00 -4.4464e+00 -4.3089e+00 -2.8115e+00 +6.2820e-01 +3.5396e+00 -4.6255e+00 -4.8443e+00 +1.6560e+00 -3.0180e+00 +3.3413e+00 -6.8000e-01
7 +1.354075578e+03 +1.354075578e+03 +1.258325578e+03 +1.258325578e+03 +1.6613e+00 +5.4793e-01 +2.6885e+00 -4.1036e+00 +6.6996e-01 -1.4897e-02 -6.0130e-01 +4.8715e+00 -1.7165e+00 -9.8490e-01 +4.2553e+00 -2.3341e+00 -2.5390e+00 +1.9874e+00 -3.8712e+00 +2.1823e+00 -2.5699e+00 +2.6225e+00 +2.7481e+00 -3.6942e+00
25 +9.491184414e+02 +9.491184414e+02 +8.533684414e+02 +8.533684414e+02 +3.0765e+00 -2.3713e+00 +3.0643e+00 -4.9518e-01 +9.1475e-01 -8.9562e-01 +4.5443e+00 +4.3856e+00 +8.3762e-01 -4.9859e-01 +2.4420e+00 +2.7514e+00 +4.1347e+00 -1.0770e+00 -9.7027e-01 -1.3496e+00 +2.3563e+00 -3.6049e-01 +2.2073e+00 +1.9410e+00
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.550365453e+03 +1.550365453e+03 +1.459005453e+03 +1.459005453e+03 -4.4903e+00 +4.2876e-01 -4.5016e+00 +3.9617e+00 -3.3159e-01 -3.1111e+00 -4.0645e+00 -3.4860e+00 -1.0995e+00 -3.8776e+00 -4.4996e+00 -4.9987e+00 -4.9881e+00 +5.6607e-01 -1.4236e+00 -1.3350e+00 -1.4211e+00 +4.1724e+00 +6.1750e-01 +3.9356e+00
8 +8.560095815e+02 +8.560095815e+02 +7.646495815e+02 +7.646495815e+02 -6.3353e-01 -7.0472e-01 +2.4385e+00 -1.8121e+00 +3.7566e+00 +2.9755e-02 -2.6276e+00 -2.7979e-02 -2.8079e+00 -2.7793e+00 +3.0957e+00 +2.6207e-01 +7.2792e-01 -3.3680e+00 -4.4048e+00 +4.9044e+00 -7.9626e-01 -3.4312e-01 -2.3343e+00 +4.5198e+00
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.342230050e+03 +3.342230050e+03 +3.573760050e+03 +3.573760050e+03 -2.4948e+00 -1.1174e-01 -1.5472e+00 -1.6416e+00 +4.0319e+00 +7.0411e-01 +1.1092e+00 -4.2601e+00 -4.4663e+00 +3.3942e+00 +5.3906e-01 -2.8111e+00 +2.1369e+00 +2.8069e+00 -3.9569e+00 -5.6103e-02 +5.8916e-01 +8.0205e-01 -8.4143e-01 -2.1739e+00
2 +1.718763290e+03 +1.718763290e+03 +1.950293290e+03 +1.950293290e+03 +3.7791e+00 +4.0394e+00 +2.1398e+00 +3.3635e+00 +1.6182e+00 +1.4157e+00 -2.3651e+00 -2.3042e+00 -1.4704e+00 -3.5397e+00 -2.6709e+00 +4.6581e-01 -2.3728e+00 +4.2141e+00 +1.6431e+00 -1.5025e+00 -2.9157e+00 -3.6206e+00 -3.6738e+00 -4.9040e-01
8 +1.038466104e+03 +1.038466104e+03 +1.269996104e+03 +1.269996104e+03 -6.0362e-01 -4.6862e+00 +2.7336e+00 +2.5211e+00 +2.5957e+00 +4.4390e+00 +1.4978e+00 +3.9112e+00 -3.3588e+00 +1.9265e+00 -1.5554e+00 +2.2390e+00 -2.8856e+00 -3.2687e+00 +3.8399e+00 -1.4739e+00 +4.1183e+00 -3.4773e+00 +1.0268e+00 +1.8332e+00
9 +8.950234203e+02 +8.950234203e+02 +1.126553420e+03 +1.126553420e+03 -2.7113e+00 -3.6353e+00 -4.3667e+00 +1.5298e+00 -1.9295e+00 +4.8954e+00 -3.0591e+00 -1.4751e+00 +4.4122e+00 -3.1780e+00 +8.9378e-01 +2.7727e+00 +2.9525e+00 -1.0502e+00 +4.9833e+00 -1.1425e+00 +2.1949e+00 -3.8470e+00 -1.8806e+00 +4.3007e-01
167 +5.606286817e+02 +5.606286817e+02 +7.921586817e+02 +7.921586817e+02 -2.7924e+00 +1.2682e+00 +3.7447e-01 -8.6378e-01 +2.6998e+00 -4.4447e+00 -2.5337e+00 +3.0988e+00 +4.5583e+00 +3.0923e+00 -4.6328e-01 +3.5073e+00 +4.6446e+00 -1.6202e+00 +2.5682e+00 +1.9982e+00 +4.2782e-01 +3.2937e-01 -3.9180e+00 +1.9455e+00
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.870030365e+03 +1.870030365e+03 +1.730260365e+03 +1.730260365e+03 -4.3814e+00 +1.1807e+00 -5.6086e-01 -4.6935e+00 +3.8697e+00 -2.5899e+00 -3.4342e+00 +4.7437e+00 +2.1998e+00 +4.5367e+00 -2.0701e+00 -2.3456e+00 +2.3601e+00 -2.4801e+00 +1.9459e+00 -3.0136e+00 -1.1781e+00 -2.9877e+00 +4.5828e-01 -8.7693e-01
5 +1.142646524e+03 +1.142646524e+03 +1.002876524e+03 +1.002876524e+03 +7.5061e-01 -3.2715e+00 -4.3836e+00 +2.6838e+00 +2.4953e+00 -4.8444e+00 -1.7181e+00 -5.5022e-01 -2.9853e+00 +1.7008e+00 +2.8673e+00 -3.0032e+00 +4.2301e+00 -4.5524e-01 -3.2302e-01 +3.5629e+00 -3.8582e+00 -4.5739e-01 -2.5180e+00 -4.4711e+00
51 +7.019483584e+02 +7.019483584e+02 +5.621783584e+02 +5.621783584e+02 +1.3956e+00 +2.8389e+00 -3.1642e+00 -1.8040e-01 +4.0668e-01 +7.0581e-01 +4.9483e+00 -9.4625e-01 -3.1273e+00 +2.9487e-01 +4.6194e+00 -1.0162e+00 -8.9321e-01 -2.9272e+00 +4.4187e+00 -6.0320e-01 -3.1918e+00 +4.6743e+00 -3.0978e+00 +1.7764e+00
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.450168490e+03 +2.450168490e+03 +2.459998490e+03 +2.459998490e+03 -2.6635e-01 +2.7185e+00 -2.0170e+00 -3.4697e+00 -5.4755e-01 -3.6893e+00 +3.2637e+00 +2.2108e+00 +3.8087e+00 +1.0386e+00 +1.5242e+00 +1.5603e+00 +3.2119e+00 +2.1473e+00 -3.3027e+00 +1.4052e+00 +4.6959e+00 -4.7806e+00 -2.4427e+00 +3.8785e+00
3 +1.392514290e+03 +1.392514290e+03 +1.402344290e+03 +1.402344290e+03 +3.5206e+00 +4.5270e+00 -2.1587e+00 -1.8631e-01 +3.5397e+00 -1.0571e+00 -3.2630e+00 +1.1944e+00 -4.5376e+00 -3.8277e-01 +1.6037e+00 -6.4708e-02 +1.9756e+00 +3.4253e+00 +4.4659e-01 +1.9255e+00 -1.0588e+00 -2.2436e+00 +2.6297e+00 +1.7952e+00
21 +8.652461049e+02 +8.652461049e+02 +8.750761049e+02 +8.750761049e+02 -2.4943e+00 +6.6590e-01 +2.3514e+00 -7.2667e-02 -1.0926e+00 +4.2355e+00 +1.2615e+00 +1.2518e-01 -4.9711e+00 +4.8692e-01 -1.0575e+00 +6.7984e-01 +3.8893e+00 -1.4099e-01 -3.0893e+00 -3.3607e+00 +6.6427e-02 +3.4457e+00 -1.7462e+00 +7.2222e-01
104 +6.118420259e+02 +6.118420259e+02 +6.216720259e+02 +6.216720259e+02 -2.3751e+00 +6.2698e-01 +2.8038e-01 -4.5882e+00 -2.3438e+00 +1.8258e+00 +3.8296e-01 -1.0524e+00 -2.3568e+00 -3.5064e+00 +1.2891e-01 -2.8987e+00 +4.7803e+00 -5.6465e-01 +2.7235e+00 +1.1609e+00 +3.8182e+00 -1.3451e+00 -2.0685e+00 +3.5260e+00
% function evaluation | noise-free fitness - Fopt (6.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.619261042e+03 +2.619261042e+03 +2.686471042e+03 +2.686471042e+03 +2.9567e+00 -4.9768e+00 -4.3282e+00 +4.8493e+00 -1.1187e+00 +1.8777e-01 +1.6234e+00 +3.3688e+00 +3.5823e+00 -7.4153e-01 +8.7910e-01 -9.9191e-02 +3.8096e+00 -1.6877e-01 +4.2353e+00 +3.6963e+00 +1.9850e+00 -4.5277e+00 -2.0084e+00 -4.9811e+00
3 +1.029829632e+03 +1.029829632e+03 +1.097039632e+03 +1.097039632e+03 -2.7711e+00 -3.1858e+00 +1.1930e+00 +5.1083e-01 +1.5981e+00 -6.5379e-01 -4.2465e+00 +4.5632e+00 -1.5692e+00 -4.3034e+00 +2.7051e+00 +4.1421e+00 -4.0497e+00 +9.9258e-01 -3.8392e-01 -2.4513e+00 -3.9026e+00 +3.6700e+00 +2.7423e-01 -3.6370e+00
