% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.550660220e+03 +6.550660220e+03 +6.088570220e+03 +6.088570220e+03 -2.1966e+00 -4.5563e+00 +2.8111e+00 -4.8287e-01 -2.7111e+00 +6.3613e-01 +3.0866e+00 -1.5946e-01 +4.5364e+00 +1.3583e+00 +4.5946e+00 +2.4991e+00 -3.7618e+00 -7.8776e-01 +3.3868e+00 +3.5253e-01 -1.4022e-01 -3.9100e-01 -4.0201e+00 +3.3069e+00
2 +3.022642519e+03 +3.022642519e+03 +2.560552519e+03 +2.560552519e+03 +1.2922e+00 -2.9235e+00 -1.0366e+00 -1.1445e+00 -1.7567e+00 -4.8909e+00 +4.7902e-01 -4.6055e+00 +3.3788e+00 +8.9297e-01 +3.9599e+00 +2.9845e+00 -3.5779e+00 +1.9520e+00 -4.2977e+00 +3.8530e+00 -1.8208e+00 -4.8568e-01 +3.0397e+00 -3.7189e+00
12 +1.820260670e+03 +1.820260670e+03 +1.358170670e+03 +1.358170670e+03 -1.8954e+00 -3.7222e+00 -4.0935e+00 +1.3989e+00 +4.4210e+00 +1.8811e+00 -2.3409e+00 +7.6656e-01 +1.4019e+00 +1.0524e+00 -2.6899e+00 -2.9731e+00 -3.1682e+00 -4.3373e+00 -2.7386e+00 -1.5298e+00 -1.0769e-01 -3.8283e+00 +4.5419e-01 +3.6672e+00
19 +1.177430573e+03 +1.177430573e+03 +7.153405727e+02 +7.153405727e+02 -7.1157e-01 -3.9212e+00 +4.1174e-01 -2.1915e+00 +1.7635e+00 +3.7210e+00 -2.3474e-01 +3.6726e+00 +1.2214e+00 +4.0712e+00 +2.5870e+00 +4.8632e+00 -2.5443e+00 +3.2381e+00 +5.6198e-01 +4.5608e-01 -1.9119e+00 +4.5269e+00 -2.3598e+00 +2.8377e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.267255231e+03 +7.267255231e+03 +7.344915231e+03 +7.344915231e+03 +4.5658e+00 -3.3328e+00 +4.3541e+00 +2.0101e+00 -3.7525e+00 +4.8379e+00 +4.5906e+00 +4.9803e+00 +2.0220e+00 +3.0522e-02 +3.5744e+00 +4.8866e+00 -4.0801e-01 -4.7210e-01 +2.3031e+00 +3.8217e+00 +5.7266e-01 -1.1402e+00 -2.4505e+00 +2.9634e+00
9 +4.558169598e+03 +4.558169598e+03 +4.635829598e+03 +4.635829598e+03 +4.7728e+00 +4.0649e+00 +4.1780e+00 +4.9255e+00 +4.0692e+00 -3.0345e+00 +3.0514e+00 -1.7268e+00 -1.3747e+00 +1.2446e+00 -7.0738e-01 -2.8308e+00 -4.4968e+00 +4.0005e+00 -6.9623e-02 -1.0533e+00 +7.2451e-01 +1.7732e+00 +8.1494e-02 -2.6204e+00
12 +3.735284761e+03 +3.735284761e+03 +3.812944761e+03 +3.812944761e+03 +2.7471e+00 +7.0278e-01 -4.2117e-01 -3.1743e-02 +4.3524e+00 +1.2781e+00 +9.5741e-01 -1.7500e+00 +9.5780e-01 +1.1546e-01 -1.8533e+00 +4.4571e+00 +2.2571e+00 -4.1363e+00 +1.8026e+00 +2.0828e-01 +3.8505e-01 +1.1095e+00 -4.1701e+00 +3.0826e+00
16 +1.215481297e+03 +1.215481297e+03 +1.293141297e+03 +1.293141297e+03 -3.3406e-01 +3.9290e+00 +2.1917e+00 +1.4843e+00 +3.9936e+00 -4.4916e+00 -4.6805e+00 -4.5762e-01 -2.4495e+00 -1.6980e+00 -2.1455e+00 -6.1591e-01 -3.3183e+00 +1.5202e-01 +1.7262e+00 +3.4786e+00 -1.2528e+00 -2.5680e+00 +2.0731e+00 +6.9113e-01
59 +7.183810884e+02 +7.183810884e+02 +7.960410884e+02 +7.960410884e+02 +1.2104e+00 -2.5450e-01 -1.7003e+00 +2.4217e+00 -4.3890e+00 +3.0128e+00 -2.1031e+00 -2.6030e+00 -2.4645e+00 -9.2357e-01 +1.9844e+00 +3.0959e+00 -3.3244e-01 -3.5739e+00 +1.9924e-01 +6.3446e-01 -2.4252e+00 -8.0732e-01 +2.2413e+00 +9.0422e-01
