% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.166779939e+03 +1.166779939e+03 +7.046899393e+02 +7.046899393e+02 -3.4728e+00 -3.8117e+00 -2.8503e+00 -3.1603e+00 -2.4501e+00 -4.1649e-01 +3.7706e+00 +6.7541e-02 -4.3001e+00 -3.2551e+00 +3.1024e+00 -2.2071e+00 -1.2365e+00 +2.0250e+00 -3.4900e+00 -2.8200e+00 -1.5886e+00 +1.7835e+00 -3.0627e+00 +3.3308e+00
6 +8.872848850e+02 +8.872848850e+02 +4.251948850e+02 +4.251948850e+02 -2.2138e+00 +4.7263e+00 +3.5630e+00 +9.1221e-01 +6.5523e-02 -3.0265e-01 +5.5857e-01 -4.4911e+00 +2.9515e+00 -1.1360e+00 +8.7836e-01 -2.0234e+00 -1.7773e+00 +1.2726e+00 +2.2069e+00 -2.4650e+00 -3.5458e+00 +8.1015e-01 -3.7873e+00 +2.8046e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.554530700e+03 +5.554530700e+03 +5.632190700e+03 +5.632190700e+03 +1.9779e+00 -1.9650e+00 +4.5962e+00 -2.9933e+00 -1.3697e+00 +2.8614e+00 -1.8900e+00 +5.9501e-01 -1.1289e+00 -3.9795e+00 -4.9100e-01 -2.2155e+00 -4.3607e+00 +1.9511e+00 +2.9689e+00 -2.0940e+00 -1.1152e+00 +4.7288e+00 -2.1135e+00 +1.5288e-01
2 +2.564168472e+03 +2.564168472e+03 +2.641828472e+03 +2.641828472e+03 +1.5088e+00 -2.2903e+00 -2.2258e-01 +1.2992e+00 +4.3832e-02 -7.0294e-01 -2.2103e+00 -3.5196e+00 +4.1902e+00 -4.6976e-01 -6.4747e-01 -4.8504e+00 +2.3773e+00 -4.7901e-01 -4.6892e+00 +3.8682e+00 -2.3754e+00 -2.8469e+00 +1.2812e+00 +2.3409e+00
6 +8.213932225e+02 +8.213932225e+02 +8.990532225e+02 +8.990532225e+02 +4.8658e+00 -4.5484e+00 -5.2662e-01 -7.3000e-01 -3.2217e+00 -6.3906e-01 +4.4300e+00 +3.9169e+00 -8.2938e-01 +1.2403e+00 +4.2556e+00 -1.2272e+00 +4.7455e-01 -5.8529e-01 -2.2473e+00 -3.6083e+00 -1.9976e+00 -3.5309e+00 -1.3714e+00 -4.0301e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.287025147e+03 +3.287025147e+03 +3.402705147e+03 +3.402705147e+03 +4.9039e+00 -2.5776e-01 +1.2058e+00 +4.8044e-01 -2.7524e+00 -1.9277e-01 +1.6561e+00 -2.1830e+00 +2.4312e+00 +4.6092e+00 -2.9801e+00 +1.0615e+00 +3.9930e+00 +4.0394e+00 +9.1205e-02 -2.7883e+00 -1.3134e+00 -4.8324e+00 +2.4400e-01 +2.2779e+00
2 +2.131336537e+03 +2.131336537e+03 +2.247016537e+03 +2.247016537e+03 +2.3969e+00 +3.1955e+00 +1.2380e+00 -4.1123e+00 +4.0187e+00 -2.9066e+00 -2.6231e+00 +2.9415e+00 -3.9325e+00 +1.0661e+00 +3.4977e+00 -1.7452e+00 +2.5545e+00 +3.8816e+00 +3.5686e+00 +4.7943e+00 +8.1195e-01 +3.1037e+00 +2.8606e+00 -9.8440e-01
3 +1.024412160e+03 +1.024412160e+03 +1.140092160e+03 +1.140092160e+03 -9.6403e-01 +3.8002e+00 -2.0315e+00 -6.3632e-01 +2.2943e+00 -7.2648e-01 +7.6628e-01 -1.2534e+00 -3.7757e-01 -4.1123e+00 -5.5713e-01 +2.8410e+00 -4.3549e+00 +7.5419e-01 -1.6697e+00 -2.0911e+00 -2.0271e+00 +1.5575e-01 +4.4167e+00 -3.7450e+00
